Nr. crt.,Legitimație,Disciplina,Nota
1351,2603,Informatică,7.50
1366,2621,Matematică,7.50
1374,2630,Matematică,7.50
1407,2668,Informatică,7.50
32,1043,Informatică,7.48
1198,2436,Informatică,7.48
1258,2505,Informatică,7.48
1431,2693,Informatică,7.48
41,1057,Informatică,7.46
19,1023,Informatică,7.44
415,1532,Informatică,7.44
420,1539,Informatică,7.44
610,1763,Matematică,7.44
723,1891,Matematică,7.44
928,2126,Matematică,7.44
971,2172,Matematică,7.44
1003,2207,Informatică,7.44
1079,2299,Matematică,7.44
1454,2717,Informatică,7.44
424,1543,Matematică,7.43
513,1649,Matematică,7.43
537,1676,Matematică,7.43
580,1727,Informatică,7.43
761,1931,Matematică,7.43
995,2198,Informatică,7.43
1080,2300,Matematică,7.43
1297,2544,Informatică,7.43
1419,2680,Matematică,7.43
156,1206,Informatică,7.42
178,1233,Informatică,7.42
312,1397,Informatică,7.42
332,1428,Informatică,7.42
526,1663,Informatică,7.42
559,1704,Informatică,7.42
692,1855,Informatică,7.42
745,1914,Matematică,7.42
756,1925,Informatică,7.42
847,2031,Informatică,7.42
1084,2304,Informatică,7.41
123,1165,Informatică,7.38
713,1879,Informatică,7.38
1051,2264,Informatică,7.38
1222,2464,Informatică,7.38
1468,2731,Informatică,7.38
150,1199,Matematică,7.37
279,1355,Informatică,7.37
359,1461,Matematică,7.37
429,1548,Informatică,7.37
715,1881,Informatică,7.37
728,1896,Informatică,7.37
922,2120,Informatică,7.37
950,2150,Informatică,7.37
1089,2310,Matematică,7.37
1282,2529,Informatică,7.37
1439,2702,Informatică,7.37
654,1811,Informatică,7.36
154,1204,Informatică,7.35
479,1610,Informatică,7.35
957,2157,Informatică,7.35
1092,2313,Informatică,7.35
1139,2367,Informatică,7.34
752,1921,Informatică,7.33
1136,2364,Informatică,7.33
115,1156,Informatică,7.31
225,1290,Informatică,7.31
287,1365,Informatică,7.31
486,1618,Informatică,7.31
531,1668,Informatică,7.31
598,1749,Informatică,7.31
840,2023,Informatică,7.31
1018,2222,Informatică,7.31
1050,2263,Informatică,7.31
1194,2430,Matematică,7.31
1201,2440,Informatică,7.31
1338,2588,Matematică,7.31
1383,2639,Informatică,7.31
1438,2700,Matematică,7.31
1449,2712,Informatică,7.31
1482,2747,Informatică,7.31
160,1211,Informatică,7.29
400,1516,Informatică,7.29
462,1589,Informatică,7.29
482,1613,Informatică,7.29
703,1867,Informatică,7.29
837,2019,Informatică,7.29
954,2154,Informatică,7.29
940,2139,Informatică,7.27
1040,2249,Informatică,7.27
1118,2342,Informatică,7.26
1417,2678,Matematică,7.26
30,1039,Informatică,7.25
58,1081,Matematică,7.25
250,1321,Matematică,7.25
361,1463,Informatică,7.25
470,1599,Matematică,7.25
501,1636,Informatică,7.25
529,1666,Informatică,7.25
625,1778,Informatică,7.25
641,1795,Informatică,7.25
643,1797,Informatică,7.25
747,1916,Informatică,7.25
900,2095,Informatică,7.25
1065,2282,Informatică,7.25
1078,2298,Informatică,7.25
1202,2443,Informatică,7.25
1204,2445,Informatică,7.25
1289,2536,Matematică,7.25
222,1287,Informatică,7.23
267,1342,Informatică,7.23
611,1764,Informatică,7.23
881,2074,Informatică,7.23
908,2103,Informatică,7.23
1090,2311,Informatică,7.23
1330,2579,Informatică,7.23
1420,2681,Informatică,7.23
108,1148,Informatică,7.19
176,1231,Informatică,7.19
264,1339,Informatică,7.19
413,1529,Informatică,7.19
446,1573,Matematică,7.19
518,1655,Informatică,7.19
564,1710,Informatică,7.19
923,2121,Informatică,7.19
1063,2280,Informatică,7.19
1094,2315,Informatică,7.19
1097,2320,Informatică,7.19
1243,2489,Informatică,7.19
1274,2521,Informatică,7.19
1279,2526,Informatică,7.19
608,1761,Matematică,7.18
882,2075,Matematică,7.18
1213,2454,Informatică,7.18
1228,2474,Informatică,7.18
194,1257,Matematică,7.17
697,1860,Informatică,7.17
1178,2412,Informatică,7.17
1291,2538,Informatică,7.17
1293,2540,Informatică,7.17
1368,2623,Informatică,7.17
523,1660,Informatică,7.16
1356,2609,Informatică,7.16
478,1609,Informatică,7.13
679,1838,Matematică,7.13
898,2092,Informatică,7.13
1192,2428,Informatică,7.13
731,1899,Matematică,7.12
996,2199,Matematică,7.12
1034,2243,Informatică,7.12
1049,2262,Informatică,7.12
1363,2616,Informatică,7.12
1377,2633,Informatică,7.12
1386,2642,Informatică,7.12
1436,2698,Informatică,7.12
1456,2719,Informatică,7.12
294,1374,Informatică,7.11
1341,2591,Informatică,7.11
207,1270,Informatică,7.10
239,1307,Matematică,7.10
494,1627,Informatică,7.10
1153,2383,Informatică,7.08
897,2091,Informatică,7.07
107,1147,Informatică,7.06
230,1298,Informatică,7.06
348,1448,Informatică,7.06
381,1496,Informatică,7.06
409,1525,Matematică,7.06
455,1582,Informatică,7.06
540,1681,Informatică,7.06
551,1696,Informatică,7.06
700,1863,Informatică,7.06
791,1966,Matematică,7.06
817,1998,Matematică,7.06
989,2191,Informatică,7.06
993,2195,Matematică,7.06
1137,2365,Matematică,7.06
1247,2493,Matematică,7.06
1276,2523,Matematică,7.06
1309,2557,Informatică,7.06
1371,2627,Matematică,7.06
1424,2685,Matematică,7.06
292,1371,Informatică,7.04
383,1499,Informatică,7.04
546,1687,Informatică,7.04
801,1978,Informatică,7.04
921,2118,Informatică,7.04
1462,2725,Informatică,7.04
1411,2672,Informatică,7.02
25,1034,Informatică,7.00
236,1304,Matematică,7.00
358,1460,Informatică,7.00
408,1524,Matematică,7.00
687,1848,Informatică,7.00
691,1854,Informatică,7.00
696,1859,Matematică,7.00
714,1880,Informatică,7.00
812,1993,Informatică,7.00
907,2102,Informatică,7.00
977,2178,Informatică,7.00
1158,2389,Informatică,7.00
1303,2550,Matematică,7.00
1457,2720,Informatică,7.00
106,1146,Informatică,6.98
682,1841,Informatică,6.98
765,1936,Informatică,6.98
1101,2324,Informatică,6.98
299,1380,Informatică,6.96
1187,2423,Informatică,6.95
59,1083,Matematică,6.94
139,1184,Informatică,6.94
269,1344,Informatică,6.94
398,1514,Matematică,6.94
534,1672,Informatică,6.94
548,1690,Matematică,6.94
522,1659,Informatică,6.93
749,1918,Informatică,6.93
986,2188,Informatică,6.93
1415,2676,Informatică,6.93
629,1782,Informatică,6.92
741,1909,Informatică,6.92
846,2029,Informatică,6.92
81,1114,Informatică,6.91
416,1533,Informatică,6.91
16,1019,Informatică,6.90
1,1001,Informatică,6.89
365,1467,Informatică,6.89
263,1338,Matematică,6.88
440,1564,Matematică,6.88
947,2147,Informatică,6.88
1206,2447,Matematică,6.88
1278,2525,Informatică,6.88
1376,2632,Informatică,6.88
44,1063,Matematică,6.87
188,1247,Informatică,6.87
453,1580,Matematică,6.87
461,1588,Matematică,6.87
475,1605,Matematică,6.87
519,1656,Informatică,6.87
555,1700,Informatică,6.87
864,2054,Informatică,6.87
1001,2204,Informatică,6.87
1257,2504,Matematică,6.87
1326,2575,Informatică,6.87
1455,2718,Informatică,6.87
1465,2728,Matematică,6.87
1046,2258,Informatică,6.86
483,1615,Informatică,6.85
678,1837,Informatică,6.85
694,1857,Informatică,6.85
1071,2289,Informatică,6.85
1203,2444,Informatică,6.85
1404,2663,Informatică,6.85
1480,2745,Informatică,6.85
436,1557,Informatică,6.84
1394,2651,Informatică,6.83
103,1140,Informatică,6.81
164,1216,Informatică,6.81
338,1436,Matematică,6.81
401,1517,Informatică,6.81
515,1651,Matematică,6.81
642,1796,Informatică,6.81
810,1991,Informatică,6.81
930,2129,Informatică,6.81
1127,2353,Informatică,6.81
1380,2636,Matematică,6.81
698,1861,Informatică,6.79
958,2158,Informatică,6.79
1268,2515,Informatică,6.79
1024,2228,Informatică,6.77
1028,2235,Informatică,6.77
249,1320,Informatică,6.75
562,1708,Matematică,6.75
709,1875,Informatică,6.75
796,1973,Informatică,6.75
875,2067,Informatică,6.75
1013,2217,Informatică,6.75
1026,2233,Matematică,6.75
1083,2303,Matematică,6.75
1098,2321,Informatică,6.75
1133,2360,Informatică,6.75
1346,2597,Informatică,6.75
1478,2742,Informatică,6.75
119,1161,Informatică,6.73
126,1168,Matematică,6.73
138,1183,Informatică,6.73
613,1766,Matematică,6.73
757,1926,Informatică,6.73
1396,2653,Informatică,6.73
1443,2706,Informatică,6.73
1450,2713,Informatică,6.73
330,1425,Informatică,6.71
819,2000,Informatică,6.71
1215,2456,Informatică,6.71
46,1066,Informatică,6.69
78,1111,Matematică,6.69
458,1585,Matematică,6.69
587,1735,Informatică,6.69
612,1765,Informatică,6.69
635,1789,Matematică,6.69
1128,2355,Matematică,6.69
1254,2501,Informatică,6.69
1400,2657,Informatică,6.69
1410,2671,Informatică,6.69
418,1537,Informatică,6.68
441,1568,Informatică,6.68
505,1640,Matematică,6.68
591,1740,Matematică,6.68
807,1987,Informatică,6.68
851,2037,Matematică,6.68
944,2143,Matematică,6.68
1184,2419,Matematică,6.68
1441,2704,Matematică,6.68
1444,2707,Matematică,6.68
219,1284,Informatică,6.67
527,1664,Informatică,6.67
688,1849,Informatică,6.67
739,1907,Informatică,6.67
742,1910,Informatică,6.67
830,2012,Informatică,6.67
920,2117,Matematică,6.67
1068,2285,Informatică,6.67
1129,2356,Informatică,6.67
173,1228,Informatică,6.66
411,1527,Informatică,6.65
84,1117,Informatică,6.63
185,1243,Matematică,6.63
601,1753,Informatică,6.63
1105,2328,Informatică,6.63
1467,2730,Informatică,6.63
336,1433,Matematică,6.62
594,1744,Informatică,6.62
617,1770,Matematică,6.62
720,1887,Informatică,6.62
735,1903,Informatică,6.62
778,1950,Informatică,6.62
859,2046,Matematică,6.62
866,2056,Matematică,6.62
994,2196,Matematică,6.62
1210,2451,Matematică,6.62
1253,2499,Informatică,6.62
1416,2677,Informatică,6.62
370,1474,Informatică,6.61
790,1965,Informatică,6.61
1135,2363,Informatică,6.60
1403,2662,Informatică,6.60
1428,2690,Informatică,6.60
661,1818,Informatică,6.59
1110,2334,Informatică,6.59
1190,2426,Informatică,6.59
1000,2203,Informatică,6.58
316,1402,Informatică,6.57
63,1091,Informatică,6.56
130,1173,Informatică,6.56
211,1274,Matematică,6.56
536,1675,Matematică,6.56
616,1769,Matematică,6.56
724,1892,Matematică,6.56
858,2045,Matematică,6.56
955,2155,Matematică,6.56
1233,2479,Informatică,6.56
1240,2486,Informatică,6.56
1283,2530,Matematică,6.56
1302,2549,Matematică,6.56
128,1170,Informatică,6.54
215,1280,Informatică,6.54
773,1944,Informatică,6.54
784,1957,Informatică,6.54
969,2169,Informatică,6.54
1395,2652,Informatică,6.54
1399,2656,Informatică,6.54
850,2036,Informatică,6.52
886,2080,Informatică,6.52
1070,2288,Informatică,6.52
1125,2351,Informatică,6.52
1434,2696,Informatică,6.52
1461,2724,Informatică,6.52
109,1149,Informatică,6.50
158,1209,Informatică,6.50
204,1267,Informatică,6.50
243,1312,Informatică,6.50
268,1343,Matematică,6.50
721,1888,Matematică,6.50
746,1915,Matematică,6.50
772,1943,Matematică,6.50
992,2194,Informatică,6.50
1117,2341,Matematică,6.50
1154,2384,Informatică,6.50
1312,2560,Matematică,6.50
1347,2598,Informatică,6.50
18,1022,Informatică,6.48
435,1556,Informatică,6.48
1336,2586,Informatică,6.48
1427,2689,Informatică,6.48
664,1821,Informatică,6.46
1265,2512,Informatică,6.46
93,1127,Informatică,6.44
141,1187,Matematică,6.44
265,1340,Informatică,6.44
311,1395,Matematică,6.44
444,1571,Informatică,6.44
490,1622,Informatică,6.44
656,1813,Informatică,6.44
704,1868,Informatică,6.44
887,2081,Informatică,6.44
934,2133,Matematică,6.44
1038,2247,Informatică,6.44
1165,2397,Matematică,6.44
1177,2411,Matematică,6.44
1305,2552,Informatică,6.44
652,1809,Matematică,6.43
662,1819,Informatică,6.43
890,2084,Informatică,6.43
1035,2244,Matematică,6.43
290,1369,Informatică,6.42
314,1400,Informatică,6.42
1175,2409,Informatică,6.42
1185,2420,Informatică,6.41
129,1172,Matematică,6.38
1294,2541,Informatică,6.38
369,1473,Informatică,6.37
962,2162,Informatică,6.37
1120,2345,Matematică,6.37
1384,2640,Informatică,6.37
1489,2759,Informatică,6.37
1490,2760,Informatică,6.37
477,1607,Informatică,6.35
825,2007,Informatică,6.35
740,1908,Informatică,6.33
1019,2223,Informatică,6.33
883,2076,Matematică,6.32
1264,2511,Informatică,6.32
1373,2629,Matematică,6.32
1422,2683,Informatică,6.32
162,1213,Informatică,6.31
280,1356,Informatică,6.31
574,1721,Informatică,6.31
585,1733,Informatică,6.31
660,1817,Informatică,6.31
806,1986,Matematică,6.31
824,2006,Informatică,6.31
952,2152,Matematică,6.31
1149,2379,Matematică,6.31
1174,2408,Matematică,6.31
1320,2569,Informatică,6.31
1321,2570,Informatică,6.31
599,1750,Informatică,6.30
72,1103,Matematică,6.29
815,1996,Informatică,6.29
1281,2528,Informatică,6.29
1301,2548,Informatică,6.29
1430,2692,Informatică,6.29
307,1389,Matematică,6.25
324,1415,Informatică,6.25
632,1785,Matematică,6.25
1032,2240,Informatică,6.25
1100,2323,Informatică,6.25
1134,2361,Informatică,6.25
1199,2437,Matematică,6.25
1252,2498,Informatică,6.25
1255,2502,Informatică,6.25
1306,2553,Matematică,6.25
252,1324,Informatică,6.23
674,1833,Informatică,6.23
1091,2312,Informatică,6.23
1266,2513,Informatică,6.23
1425,2686,Informatică,6.23
73,1106,Informatică,6.19
80,1113,Informatică,6.19
104,1144,Matematică,6.19
255,1327,Informatică,6.19
393,1509,Matematică,6.19
553,1698,Informatică,6.19
869,2059,Matematică,6.19
1054,2267,Matematică,6.19
1191,2427,Matematică,6.19
1234,2480,Matematică,6.19
1334,2583,Informatică,6.19
1340,2590,Informatică,6.19
1382,2638,Matematică,6.19
66,1094,Matematică,6.18
1238,2484,Informatică,6.18
144,1192,Informatică,6.17
317,1403,Informatică,6.17
320,1409,Informatică,6.17
382,1498,Informatică,6.17
634,1788,Informatică,6.17
1389,2645,Informatică,6.17
605,1757,Informatică,6.13
1390,2646,Matematică,6.13
17,1020,Informatică,6.12
218,1283,Matematică,6.12
266,1341,Matematică,6.12
355,1457,Matematică,6.12
360,1462,Informatică,6.12
433,1553,Matematică,6.12
588,1736,Matematică,6.12
734,1902,Informatică,6.12
843,2026,Matematică,6.12
1212,2453,Matematică,6.12
1323,2572,Informatică,6.12
1353,2605,Informatică,6.12
1014,2218,Informatică,6.11
1045,2256,Informatică,6.11
831,2013,Informatică,6.10
1004,2208,Informatică,6.10
135,1180,Informatică,6.08
695,1858,Informatică,6.08
232,1300,Informatică,6.06
261,1335,Informatică,6.06
451,1578,Informatică,6.06
491,1623,Matematică,6.06
590,1738,Matematică,6.06
927,2125,Informatică,6.06
933,2132,Informatică,6.06
1007,2211,Informatică,6.06
1375,2631,Informatică,6.06
805,1985,Informatică,6.05
353,1455,Informatică,6.04
717,1884,Informatică,6.04
1487,2757,Matematică,6.04
509,1644,Informatică,6.02
604,1756,Informatică,6.02
79,1112,Informatică,6.00
318,1404,Informatică,5.98
1062,2279,Informatică,5.98
1328,2577,Informatică,5.98
1102,2325,Informatică,5.96
1432,2694,Informatică,5.96
174,1229,Matematică,5.94
690,1853,Informatică,5.94
763,1934,Informatică,5.94
1036,2245,Informatică,5.94
983,2185,Matematică,5.93
1123,2349,Matematică,5.93
1182,2417,Informatică,5.93
1385,2641,Informatică,5.93
397,1513,Informatică,5.92
693,1856,Informatică,5.92
1406,2667,Informatică,5.92
448,1575,Informatică,5.90
1061,2278,Informatică,5.90
